step,customer,age,gender,zipcodeOri,merchant,zipMerchant,category,amount,fraud
0,'C1938976805','2','M','28007','M1823072687','28007','es_transportation',43.92,0
0,'C1006176917','2','M','28007','M348934600','28007','es_transportation',12.05,0
0,'C1014010834','1','M','28007','M348934600','28007','es_transportation',52.5,0
0,'C411390898','3','M','28007','M1053599405','28007','es_health',101.76,0
0,'C1476101537','3','F','28007','M348934600','28007','es_transportation',36.49,0
1,'C1045652139','6','M','28007','M348934600','28007','es_transportation',16.81,0
1,'C1807765388','3','F','28007','M348934600','28007','es_transportation',27.62,0
1,'C420348872','3','M','28007','M348934600','28007','es_transportation',20.06,0
1,'C1559339990','4','M','28007','M348934600','28007','es_transportation',37.1,0
1,'C444370508','5','F','28007','M151143676','28007','es_barsandrestaurants',46.16,0
1,'C545527660','1','F','28007','M348934600','28007','es_transportation',22.85,0
1,'C1575842015','5','M','28007','M348934600','28007','es_transportation',23.96,0
1,'C1279668658','2','M','28007','M348934600','28007','es_transportation',22.9,0
1,'C1148364854','5','F','28007','M732195782','28007','es_travel',3.08,0
1,'C332611573','2','F','28007','M348934600','28007','es_transportation',61.04,0
1,'C879949041','3','F','28007','M348934600','28007','es_transportation',7.61,0
1,'C1660043980','3','F','28007','M1823072687','28007','es_transportation',43.47,0
1,'C1730375460','2','F','28007','M348934600','28007','es_transportation',43.81,0
1,'C777438443','5','F','28007','M348875670','28007','es_hotelservices',35.57,0
1,'C1992803690','2','F','28007','M1823072687','28007','es_transportation',42.35,0
1,'C290140685','3','F','28007','M151143676','28007','es_barsandrestaurants',8.75,0
1,'C1076053396','4','M','28007','M348934600','28007','es_transportation',6.17,0
1,'C1634901253','1','F','28007','M1823072687','28007','es_transportation',18.32,0
1,'C284165615','3','F','28007','M348934600','28007','es_transportation',93.01,0
1,'C1722987449','3','M','28007','M348934600','28007','es_transportation',16.71,0
1,'C1309027409','3','M','28007','M1823072687','28007','es_transportation',70.72,0
1,'C1086957388','3','M','28007','M348934600','28007','es_transportation',27.14,0
1,'C1667929755','3','F','28007','M1823072687','28007','es_transportation',43.66,0
1,'C876944738','2','F','28007','M348934600','28007','es_transportation',23.6,0
1,'C1971153898','3','M','28007','M348934600','28007','es_transportation',11.02,0
1,'C1819751403','1','F','28007','M348934600','28007','es_transportation',39.76,0
1,'C1791014902','4','F','28007','M50039827','28007','es_health',98.24,0
1,'C158319863','5','F','28007','M1823072687','28007','es_transportation',2.95,0
1,'C289617636','2','M','28007','M1823072687','28007','es_transportation',51.35,0
1,'C1629693561','4','M','28007','M348934600','28007','es_transportation',38.12,0
1,'C328208842','3','F','28007','M348934600','28007','es_transportation',38.97,0
1,'C1719485237','4','M','28007','M348934600','28007','es_transportation',36.35,0
1,'C260927654','4','F','28007','M1741626453','28007','es_sportsandtoys',73.14,0
1,'C983659750','2','M','28007','M348934600','28007','es_transportation',26.82,0
1,'C1332125345','2','F','28007','M855959430','28007','es_hyper',11.36,0
1,'C423891632','5','M','28007','M348934600','28007','es_transportation',6.19,0
1,'C671392477','4','F','28007','M1823072687','28007','es_transportation',56.88,0
1,'C1971105040','3','M','28007','M348934600','28007','es_transportation',51.6,0
1,'C1272188168','5','F','28007','M348934600','28007','es_transportation',22.04,0
1,'C359698649','3','F','28007','M348934600','28007','es_transportation',2.09,0
1,'C1757210259','2','F','28007','M923029380','28007','es_home',88.06,0
1,'C588937224','1','M','28007','M348934600','28007','es_transportation',6.06,0
1,'C1174735331','3','F','28007','M348934600','28007','es_transportation',49.74,0
1,'C154191546','2','M','28007','M348934600','28007','es_transportation',50.58,0
1,'C487569403','2','M','28007','M348934600','28007','es_transportation',54.24,0
1,'C1708403061','1','F','28007','M348934600','28007','es_transportation',24.21,0
1,'C864655240','2','F','28007','M1823072687','28007','es_transportation',22.24,0
1,'C467035555','2','F','28007','M348934600','28007','es_transportation',19.63,0
1,'C1461774305','3','F','28007','M348934600','28007','es_transportation',23.61,0
1,'C228023479','4','F','28007','M348934600','28007','es_transportation',14.28,0
1,'C1769401317','3','M','28007','M348934600','28007','es_transportation',26,0
1,'C1169771418','3','M','28007','M348934600','28007','es_transportation',15.83,0
1,'C914488986','4','M','28007','M348934600','28007','es_transportation',21.52,0
1,'C1553941793','1','F','28007','M348934600','28007','es_transportation',44.95,0
1,'C205797331','4','F','28007','M1823072687','28007','es_transportation',4.21,0
1,'C1715338428','2','M','28007','M209847108','28007','es_wellnessandbeauty',8.12,0
1,'C1093060677','2','M','28007','M348934600','28007','es_transportation',0.08,0
1,'C1048588440','6','M','28007','M85975013','28007','es_food',54.61,0
1,'C986553990','5','F','28007','M348934600','28007','es_transportation',4.97,0
1,'C1950237952','4','F','28007','M348934600','28007','es_transportation',46.97,0
1,'C1021409246','2','M','28007','M348934600','28007','es_transportation',5.82,0
1,'C784005201','4','M','28007','M348934600','28007','es_transportation',16.9,0
2,'C1575842015','5','M','28007','M348934600','28007','es_transportation',7.53,0
2,'C1663056729','3','F','28007','M348934600','28007','es_transportation',13.78,0
2,'C394979408','4','F','28007','M348934600','28007','es_transportation',44.62,0
2,'C1901383731','4','F','28007','M348934600','28007','es_transportation',15.17,0
2,'C1314685160','1','M','28007','M348934600','28007','es_transportation',17.97,0
2,'C537330939','3','M','28007','M348934600','28007','es_transportation',7.05,0
2,'C129386345','3','M','28007','M692898500','28007','es_health',102.88,0
2,'C114388565','4','M','28007','M348934600','28007','es_transportation',21.88,0
2,'C2078460335','6','F','28007','M348934600','28007','es_transportation',37.21,0
2,'C1551465414','1','M','28007','M1823072687','28007','es_transportation',45.7,0
2,'C1591441443','6','M','28007','M1823072687','28007','es_transportation',7.94,0
2,'C657290155','3','M','28007','M151143676','28007','es_barsandrestaurants',70.95,0
2,'C188367998','3','F','28007','M1823072687','28007','es_transportation',29.14,0
2,'C1591152121','3','M','28007','M1823072687','28007','es_transportation',0.15,0
2,'C534961358','2','F','28007','M348934600','28007','es_transportation',17.79,0
2,'C817389751','5','F','28007','M1823072687','28007','es_transportation',12.15,0
2,'C100045114','4','M','28007','M348934600','28007','es_transportation',13.46,0
2,'C660690290','5','F','28007','M1823072687','28007','es_transportation',22.23,0
2,'C1786430014','1','F','28007','M1823072687','28007','es_transportation',2.9,0
2,'C941334726','3','F','28007','M348934600','28007','es_transportation',45.71,0
2,'C1048588440','6','M','28007','M1823072687','28007','es_transportation',18.65,0
2,'C1078596280','6','F','28007','M1823072687','28007','es_transportation',49.89,0
2,'C1415571957','2','M','28007','M348934600','28007','es_transportation',45.86,0
2,'C1035681921','1','M','28007','M348934600','28007','es_transportation',1.32,0
2,'C1210957250','3','F','28007','M348934600','28007','es_transportation',62.66,0
2,'C350553475','1','M','28007','M85975013','28007','es_food',37.83,0
2,'C336519851','3','F','28007','M348934600','28007','es_transportation',16.89,0
2,'C426128777','3','F','28007','M348934600','28007','es_transportation',21.91,0
2,'C98707741','4','F','28007','M348934600','28007','es_transportation',14.01,0
2,'C1771537982','2','M','28007','M348934600','28007','es_transportation',23.51,0
2,'C1879341237','4','M','28007','M1946091778','28007','es_wellnessandbeauty',93.08,0
2,'C602096181','1','F','28007','M1823072687','28007','es_transportation',19.23,0
2,'C474894075','4','F','28007','M348934600','28007','es_transportation',36.02,0
2,'C1798103026','4','F','28007','M348934600','28007','es_transportation',2.03,0
2,'C196806031','3','F','28007','M349281107','28007','es_fashion',20.21,0
2,'C480951921','5','M','28007','M348934600','28007','es_transportation',36.99,0
2,'C1255643141','1','F','28007','M348934600','28007','es_transportation',13.91,0
2,'C521087514','4','F','28007','M348934600','28007','es_transportation',9.93,0
2,'C927766810','3','F','28007','M348934600','28007','es_transportation',15.57,0
2,'C2092526272','6','F','28007','M348934600','28007','es_transportation',13.38,0
2,'C1329920992','5','M','28007','M480139044','28007','es_health',175.4,0
2,'C757503768','5','M','28007','M348934600','28007','es_transportation',49.18,0
2,'C695481887','5','M','28007','M348934600','28007','es_transportation',30.38,0
2,'C2084267589','3','F','28007','M1823072687','28007','es_transportation',41.46,0
2,'C1658315324','4','M','28007','M348934600','28007','es_transportation',37.31,0
2,'C39890933','5','M','28007','M1053599405','28007','es_health',97,0
2,'C1400397779','3','M','28007','M348934600','28007','es_transportation',17.1,0
2,'C1507237884','2','F','28007','M348934600','28007','es_transportation',42.23,0
2,'C1017469037','2','M','28007','M348934600','28007','es_transportation',13.57,0
2,'C1433843082','4','F','28007','M1823072687','28007','es_transportation',33.26,0
2,'C719449879','6','F','28007','M1823072687','28007','es_transportation',23.57,0
2,'C1565058518','3','M','28007','M348934600','28007','es_transportation',48.21,0
2,'C987677028','3','M','28007','M348934600','28007','es_transportation',13.27,0
2,'C1760986787','2','M','28007','M1823072687','28007','es_transportation',44.79,0
2,'C1338396147','1','F','28007','M151143676','28007','es_barsandrestaurants',19.84,0
2,'C1913314890','3','F','28007','M348934600','28007','es_transportation',58.95,0
2,'C108794529','4','F','28007','M348934600','28007','es_transportation',45.22,0
3,'C485578112','3','F','28007','M348934600','28007','es_transportation',24.16,0
3,'C92426600','3','M','28007','M348934600','28007','es_transportation',29.34,0
3,'C1599273075','5','M','28007','M1823072687','28007','es_transportation',48.75,0
3,'C1861613802','6','M','28007','M1535107174','28007','es_wellnessandbeauty',0.61,0
3,'C1091680547','4','M','28007','M1823072687','28007','es_transportation',6.96,0
3,'C1819751403','1','F','28007','M348934600','28007','es_transportation',37.23,0
3,'C817389751','5','F','28007','M1823072687','28007','es_transportation',32.07,0
3,'C1165454845','2','M','28007','M348934600','28007','es_transportation',20.86,0
3,'C76780537','6','F','28007','M348934600','28007','es_transportation',11.52,0
3,'C635222317','3','F','28007','M348934600','28007','es_transportation',10.13,0
3,'C437189630','4','F','28007','M348934600','28007','es_transportation',18.99,0
3,'C1356412685','5','M','28007','M348934600','28007','es_transportation',4.86,0
3,'C967677653','4','F','28007','M855959430','28007','es_hyper',174.29,1
3,'C369405043','4','M','28007','M1823072687','28007','es_transportation',9.16,0
3,'C58324694','3','F','28007','M1823072687','28007','es_transportation',23.89,0
3,'C1803181641','2','M','28007','M348934600','28007','es_transportation',26.94,0
3,'C1010865894','1','F','28007','M348934600','28007','es_transportation',51.11,0
3,'C228882909','2','M','28007','M1823072687','28007','es_transportation',16.91,0
3,'C276623362','4','M','28007','M348934600','28007','es_transportation',14.77,0
3,'C1846201961','3','M','28007','M348934600','28007','es_transportation',10.64,0
3,'C823678601','2','F','28007','M1946091778','28007','es_wellnessandbeauty',30.83,0
3,'C2704357','4','F','28007','M348934600','28007','es_transportation',46.9,0
3,'C650108285','4','F','28007','M1823072687','28007','es_transportation',17.67,0
3,'C875900250','4','M','28007','M348934600','28007','es_transportation',8.08,0
3,'C475340225','2','M','28007','M1823072687','28007','es_transportation',41.27,0
3,'C1916796804','4','F','28007','M855959430','28007','es_hyper',45.31,0
3,'C2014169866','4','F','28007','M1823072687','28007','es_transportation',4.63,0
3,'C576453501','4','M','28007','M1823072687','28007','es_transportation',40.41,0
3,'C1934785516','2','F','28007','M1823072687','28007','es_transportation',1.92,0
3,'C1221114448','1','F','28007','M348934600','28007','es_transportation',20.44,0
3,'C1735920391','4','F','28007','M348934600','28007','es_transportation',25.19,0
3,'C867847701','1','F','28007','M348934600','28007','es_transportation',30.07,0
3,'C439977323','1','M','28007','M348934600','28007','es_transportation',65.86,0
3,'C351880818','1','M','28007','M348934600','28007','es_transportation',33.48,0
3,'C1449000407','2','M','28007','M348934600','28007','es_transportation',14.66,0
3,'C47652503','5','F','28007','M1823072687','28007','es_transportation',50.69,0
3,'C1644158733','3','M','28007','M348934600','28007','es_transportation',71.9,0
3,'C1484573422','5','M','28007','M348934600','28007','es_transportation',31.35,0
3,'C1320066686','2','F','28007','M348934600','28007','es_transportation',11.81,0
3,'C1436301390','2','F','28007','M1823072687','28007','es_transportation',0.39,0
3,'C1975714155','5','F','28007','M1823072687','28007','es_transportation',26.35,0
3,'C1350793893','1','M','28007','M348934600','28007','es_transportation',0.91,0
3,'C109617474','2','F','28007','M348934600','28007','es_transportation',32.36,0
3,'C171977183','4','M','28007','M348934600','28007','es_transportation',21.06,0
3,'C1259760240','2','F','28007','M348934600','28007','es_transportation',56.66,0
3,'C1086957388','3','M','28007','M348934600','28007','es_transportation',39.34,0
3,'C2116616608','4','F','28007','M348934600','28007','es_transportation',12.13,0
3,'C343512101','3','M','28007','M348934600','28007','es_transportation',10.64,0
3,'C744245203','2','M','28007','M348934600','28007','es_transportation',10.48,0
3,'C1940951230','2','F','28007','M348934600','28007','es_transportation',3.77,0
3,'C784763814','5','F','28007','M50039827','28007','es_health',131.53,0
3,'C75208519','2','M','28007','M1823072687','28007','es_transportation',26.64,0
3,'C1196915447','2','M','28007','M1600850729','28007','es_fashion',172.08,0
3,'C1503504810','1','F','28007','M348934600','28007','es_transportation',12.9,0
3,'C298468219','4','M','28007','M1823072687','28007','es_transportation',13.31,0
3,'C1698214137','5','F','28007','M85975013','28007','es_food',2.9,0
3,'C587016440','5','M','28007','M1823072687','28007','es_transportation',21,0
3,'C1365609574','4','M','28007','M348934600','28007','es_transportation',26.11,0
3,'C1733778992','2','F','28007','M348934600','28007','es_transportation',25.27,0
3,'C980876590','2','F','28007','M348934600','28007','es_transportation',10.32,0
3,'C564473555','2','F','28007','M348934600','28007','es_transportation',51.93,0
3,'C1158233054','2','F','28007','M348934600','28007','es_transportation',8.81,0
3,'C1238755034','4','M','28007','M348934600','28007','es_transportation',5.64,0
3,'C1234264195','5','F','28007','M348934600','28007','es_transportation',34.55,0
3,'C2027052970','5','M','28007','M348934600','28007','es_transportation',35.67,0
3,'C899638721','2','F','28007','M480139044','28007','es_health',84.84,0
3,'C856318696','2','F','28007','M348934600','28007','es_transportation',2.91,0
3,'C1638237205','3','M','28007','M348934600','28007','es_transportation',7.53,0
3,'C1846080029','1','M','28007','M1823072687','28007','es_transportation',1.9,0
3,'C1844076143','2','M','28007','M1823072687','28007','es_transportation',16.59,0
3,'C951702775','2','M','28007','M348934600','28007','es_transportation',16.7,0
3,'C1405664150','4','M','28007','M1823072687','28007','es_transportation',10.72,0
3,'C146553626','4','F','28007','M348934600','28007','es_transportation',26.78,0
3,'C1965496749','3','F','28007','M855959430','28007','es_hyper',48.4,0
3,'C393216567','5','F','28007','M348934600','28007','es_transportation',8.56,0
3,'C304677660','4','F','28007','M348934600','28007','es_transportation',39.46,0
3,'C1359606474','3','F','28007','M348934600','28007','es_transportation',28.62,0
3,'C371812005','2','M','28007','M348934600','28007','es_transportation',29.31,0
3,'C1974668487','2','M','28007','M348934600','28007','es_transportation',67.49,0
3,'C804094956','4','M','28007','M348934600','28007','es_transportation',74.92,0
3,'C978276840','2','F','28007','M348934600','28007','es_transportation',27.06,0
3,'C2136169439','5','M','28007','M348934600','28007','es_transportation',31.43,0
3,'C2104923127','2','F','28007','M348934600','28007','es_transportation',11.53,0
3,'C1104044396','1','M','28007','M348934600','28007','es_transportation',40.68,0
3,'C885283469','1','F','28007','M1823072687','28007','es_transportation',9.71,0
3,'C823379702','5','M','28007','M348934600','28007','es_transportation',35.53,0
3,'C353985741','2','M','28007','M855959430','28007','es_hyper',22.13,0
3,'C1426420214','1','M','28007','M348934600','28007','es_transportation',38.84,0
4,'C506565122','5','F','28007','M348934600','28007','es_transportation',37.52,0
4,'C2059136665','2','M','28007','M348934600','28007','es_transportation',18.51,0
4,'C1723688663','6','F','28007','M348934600','28007','es_transportation',28.83,0
4,'C444370508','5','F','28007','M348934600','28007','es_transportation',49.81,0
4,'C1100510913','2','M','28007','M1823072687','28007','es_transportation',45.1,0
4,'C451189693','6','F','28007','M480139044','28007','es_health',63.13,0
4,'C689850593','3','M','28007','M348934600','28007','es_transportation',33.86,0
4,'C1637357651','3','M','28007','M348934600','28007','es_transportation',30.76,0
4,'C1335108214','3','M','28007','M348934600','28007','es_transportation',11.76,0
4,'C1680347409','2','F','28007','M348934600','28007','es_transportation',35.3,0
4,'C688041542','2','M','28007','M1823072687','28007','es_transportation',5.25,0
4,'C75274383','4','M','28007','M1823072687','28007','es_transportation',19.32,0
4,'C1734287915','2','F','28007','M348934600','28007','es_transportation',38.61,0
4,'C2134043204','3','M','28007','M348934600','28007','es_transportation',18.14,0
4,'C765155274','1','F','28007','M348934600','28007','es_transportation',23.22,0
4,'C1207877529','3','M','28007','M1823072687','28007','es_transportation',38.93,0
4,'C105013970','3','M','28007','M209847108','28007','es_wellnessandbeauty',86.7,0
4,'C1697472909','3','F','28007','M348934600','28007','es_transportation',20.37,0
4,'C1517749848','2','F','28007','M348934600','28007','es_transportation',37.55,0
4,'C652001804','2','M','28007','M348934600','28007','es_transportation',23.64,0
4,'C306854291','4','F','28007','M1823072687','28007','es_transportation',26.19,0
4,'C1267365709','3','F','28007','M1600850729','28007','es_fashion',117.76,0
4,'C2062758473','2','F','28007','M348934600','28007','es_transportation',28.56,0
4,'C1644158733','3','M','28007','M348934600','28007','es_transportation',3.22,0
4,'C572958608','2','M','28007','M348934600','28007','es_transportation',3.65,0
4,'C959023117','3','M','28007','M348934600','28007','es_transportation',35.66,0
4,'C1107442215','2','F','28007','M348934600','28007','es_transportation',61.17,0
4,'C1676378077','2','F','28007','M1823072687','28007','es_transportation',0.52,0
4,'C679458582','4','F','28007','M348934600','28007','es_transportation',28.98,0
4,'C1338727022','2','F','28007','M348934600','28007','es_transportation',45.85,0
4,'C893276958','2','M','28007','M348934600','28007','es_transportation',48.28,0
4,'C1930258744','4','M','28007','M1823072687','28007','es_transportation',27.1,0
4,'C1360481565','5','F','28007','M348934600','28007','es_transportation',41.89,0
4,'C1161927918','2','F','28007','M348934600','28007','es_transportation',33.1,0
4,'C1257820473','3','M','28007','M855959430','28007','es_hyper',9.26,0
4,'C1415168453','3','F','28007','M348934600','28007','es_transportation',45.28,0
4,'C1721541488','2','M','28007','M348934600','28007','es_transportation',6.21,0
4,'C612045723','5','F','28007','M348934600','28007','es_transportation',18.07,0
4,'C1622415837','2','F','28007','M348934600','28007','es_transportation',9.14,0
4,'C1095821033','4','F','28007','M348934600','28007','es_transportation',7.16,0
4,'C1373640509','2','M','28007','M1823072687','28007','es_transportation',3.51,0
4,'C25759288','1','M','28007','M348934600','28007','es_transportation',9.36,0
4,'C1872660217','4','F','28007','M1823072687','28007','es_transportation',33.39,0
4,'C2054744914','4','F','28007','M1823072687','28007','es_transportation',31.81,0
4,'C1890250226','3','M','28007','M348934600','28007','es_transportation',38.44,0
4,'C93241312','4','M','28007','M1198415165','28007','es_wellnessandbeauty',14.11,0
4,'C1732752834','3','M','28007','M348934600','28007','es_transportation',29.5,0
4,'C86186949','2','F','28007','M348934600','28007','es_transportation',6.11,0
4,'C597641228','2','M','28007','M348934600','28007','es_transportation',26.63,0
4,'C1196915447','2','M','28007','M348934600','28007','es_transportation',11.22,0
4,'C671524709','5','F','28007','M348934600','28007','es_transportation',42.45,0
4,'C5079947','3','F','28007','M348934600','28007','es_transportation',11.63,0
4,'C150820973','2','F','28007','M348934600','28007','es_transportation',42.24,0
4,'C926583171','2','F','28007','M1823072687','28007','es_transportation',24.9,0
4,'C413843100','3','F','28007','M348934600','28007','es_transportation',63.94,0
4,'C774836418','4','F','28007','M348934600','28007','es_transportation',60.9,0
4,'C893911190','3','M','28007','M855959430','28007','es_hyper',52.91,0
4,'C944367934','4','F','28007','M348934600','28007','es_transportation',41.76,0
4,'C411880353','2','F','28007','M348934600','28007','es_transportation',5.51,0
4,'C1980965530','4','M','28007','M1649169323','28007','es_sportsandtoys',83.87,0
4,'C1459810780','2','F','28007','M348934600','28007','es_transportation',42.69,0
4,'C404536294','3','F','28007','M348934600','28007','es_transportation',52.23,0
4,'C825739161','3','F','28007','M348934600','28007','es_transportation',60.08,0
4,'C627811000','6','F','28007','M348934600','28007','es_transportation',24.83,0
4,'C1456851744','2','M','28007','M348934600','28007','es_transportation',61.77,0
4,'C1819254965','6','M','28007','M151143676','28007','es_barsandrestaurants',21.98,0
4,'C1568308501','3','M','28007','M348934600','28007','es_transportation',24.7,0
4,'C706956926','2','F','28007','M480139044','28007','es_health',38.37,0
4,'C1628225593','3','M','28007','M348934600','28007','es_transportation',28.63,0
4,'C480118707','2','M','28007','M348934600','28007','es_transportation',33.87,0
4,'C1436301390','2','F','28007','M1823072687','28007','es_transportation',48.09,0
4,'C2100825064','2','F','28007','M348934600','28007','es_transportation',25.21,0
4,'C1954706477','3','F','28007','M348934600','28007','es_transportation',17.96,0
4,'C1530098029','3','F','28007','M348934600','28007','es_transportation',28.72,0
4,'C531724764','4','F','28007','M348934600','28007','es_transportation',17.31,0
4,'C1087943403','3','M','28007','M1823072687','28007','es_transportation',8.02,0
4,'C942160317','2','M','28007','M348934600','28007','es_transportation',26.15,0
4,'C809708190','1','F','28007','M348934600','28007','es_transportation',49.46,0
4,'C337291476','5','M','28007','M209847108','28007','es_wellnessandbeauty',138.07,0
5,'C1723242462','5','M','28007','M1823072687','28007','es_transportation',63.27,0
5,'C744066701','2','F','28007','M348934600','28007','es_transportation',34.27,0
5,'C1475317372','1','F','28007','M1823072687','28007','es_transportation',5.15,0
5,'C703418892','2','F','28007','M1823072687','28007','es_transportation',17.76,0
5,'C2096265838','3','M','28007','M348934600','28007','es_transportation',65.36,0
5,'C1959067413','4','M','28007','M348934600','28007','es_transportation',11.85,0
5,'C1811749392','2','F','28007','M480139044','28007','es_health',28.01,0
5,'C1603928569','3','F','28007','M1823072687','28007','es_transportation',39.96,0
5,'C2044070952','2','F','28007','M1823072687','28007','es_transportation',28.99,0
5,'C401828466','3','M','28007','M348934600','28007','es_transportation',24.07,0
5,'C1089903335','3','M','28007','M1823072687','28007','es_transportation',29,0
5,'C1425719203','1','F','28007','M348934600','28007','es_transportation',39.6,0
5,'C2109575612','5','M','28007','M151143676','28007','es_barsandrestaurants',259.75,1
5,'C2120296918','4','F','28007','M1600850729','28007','es_fashion',40.09,0
5,'C927282395','4','F','28007','M1823072687','28007','es_transportation',11.82,0
5,'C2035341190','2','M','28007','M348934600','28007','es_transportation',45.68,0
5,'C1814870538','3','M','28007','M348934600','28007','es_transportation',35.76,0
5,'C1552608695','6','F','28007','M1823072687','28007','es_transportation',47.74,0
5,'C2066612191','2','M','28007','M348934600','28007','es_transportation',10.8,0
5,'C1337923906','3','F','28007','M840466850','28007','es_tech',50.9,0
5,'C2132111174','3','F','28007','M348934600','28007','es_transportation',25.06,0
5,'C1690988973','1','F','28007','M348934600','28007','es_transportation',31.75,0
5,'C1513653440','4','M','28007','M348934600','28007','es_transportation',30.92,0
5,'C465037281','4','F','28007','M1823072687','28007','es_transportation',23.74,0
5,'C1909173090','5','F','28007','M1352454843','28007','es_hotelservices',28.14,0
5,'C1619755203','5','F','28007','M348934600','28007','es_transportation',50.73,0
5,'C433139335','0','F','28007','M348934600','28007','es_transportation',11.36,0
5,'C524035200','2','M','28007','M348934600','28007','es_transportation',8.03,0
5,'C629808856','3','M','28007','M348934600','28007','es_transportation',33.73,0
5,'C647089636','5','F','28007','M348934600','28007','es_transportation',29.57,0
5,'C1389311354','5','M','28007','M348934600','28007','es_transportation',10.7,0
5,'C1027777422','2','M','28007','M348934600','28007','es_transportation',24.86,0
5,'C1532144144','1','M','28007','M348934600','28007','es_transportation',16.49,0
